33,!,i
34,"""",""""
35,#,#
36,$,$
37,%,%
38,&,and
39,','
40,(,(
41,),)
42,*,*
43,+,t
44,",",","
45,-,-
46,.,.
47,/,/
48,0,o
49,1,i
50,2,
51,3,e
52,4,a
53,5,s
54,6,g
55,7,t
56,8,ate
57,9,g
58,:,:
59,;,;
60,<,<
61,=,=
62,>,>
63,?,?
64,@,at
65,A,A
66,B,B
67,C,C
68,D,D
69,E,E
70,F,F
71,G,G
72,H,H
73,I,I
74,J,J
75,K,K
76,L,L
77,M,M
78,N,N
79,O,O
80,P,P
81,Q,Q
82,R,R
83,S,S
84,T,T
85,U,U
86,V,V
87,W,W
88,X,X
89,Y,Y
90,Z,Z
91,[,[
92,\,\
93,],]
94,^,^
95,_,_
96,`,`
97,a,a
98,b,b
99,c,c
100,d,d
101,e,e
102,f,f
103,g,g
104,h,h
105,i,i
106,j,j
107,k,k
108,l,i
109,m,m
110,n,n
111,o,o
112,p,p
113,q,q
114,r,r
115,s,s
116,t,t
117,u,u
118,v,v
119,w,w
120,x,x
121,y,y
122,z,z
123,{,{
124,|,i
125,},}
126,~,~
127,,
